STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799975429 GHz,
TABLE,Region v2_montaSL,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000015,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,189244
CPU_CLK_UNHALTED_CORE,FIXC1,71081
CPU_CLK_UNHALTED_REF,FIXC2,32925
MEM_LOAD_RETIRED_L3_HIT,PMC0,70
MEM_LOAD_RETIRED_L3_MISS,PMC1,5
UOPS_RETIRED_ALL,PMC2,208248
TABLE,Region v2_montaSL,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],1.490522e-05,
Runtime unhalted [s],3.948998e-05,
Clock [MHz],3885.9242,
CPI,0.3756,
L3 request rate,0.0004,
L3 miss rate,2.400983e-05,
L3 miss ratio,0.0667,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799975429 GHz,
TABLE,Region v2_eliminacaoGauss,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,11997
CPU_CLK_UNHALTED_CORE,FIXC1,16233
CPU_CLK_UNHALTED_REF,FIXC2,7650
MEM_LOAD_RETIRED_L3_HIT,PMC0,59
MEM_LOAD_RETIRED_L3_MISS,PMC1,2
UOPS_RETIRED_ALL,PMC2,14844
TABLE,Region v2_eliminacaoGauss,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],1.414465e-06,
Runtime unhalted [s],9.018456e-06,
Clock [MHz],3819.4773,
CPI,1.3531,
L3 request rate,0.0041,
L3 miss rate,0.0001,
L3 miss ratio,0.0328,
